"set","seenOrder","result"
1,1,NA
1,2,NA
1,3,NA
2,1,NA
2,2,NA
2,3,NA
3,1,NA
3,2,NA
3,3,NA
4,1,NA
4,2,NA
4,3,NA
5,1,NA
5,2,NA
5,3,NA
6,1,NA
6,2,NA
6,3,NA
7,1,NA
7,2,NA
7,3,NA
8,1,NA
8,2,NA
8,3,NA
9,1,NA
9,2,NA
9,3,NA
10,1,NA
10,2,NA
10,3,NA
11,1,NA
11,2,NA
11,3,NA
12,1,NA
12,2,NA
12,3,NA
13,1,NA
13,2,NA
13,3,NA
14,1,NA
14,2,NA
14,3,NA
15,1,NA
15,2,NA
15,3,NA
16,1,NA
16,2,NA
16,3,NA
17,1,NA
17,2,NA
17,3,NA
18,1,NA
18,2,NA
18,3,NA
19,1,NA
19,2,NA
19,3,NA
20,1,NA
20,2,NA
20,3,NA
21,1,NA
21,2,NA
21,3,NA
22,1,NA
22,2,NA
22,3,NA
23,1,NA
23,2,NA
23,3,NA
24,1,NA
24,2,NA
24,3,NA
25,1,NA
25,2,NA
25,3,NA
